"x","f(x)","f'(x)"
0.000000,0.000000,0.999342
0.062832,0.062791,0.997370
0.125664,0.125334,0.991462
0.188496,0.187382,0.981641
0.251328,0.248690,0.967946
0.314160,0.309018,0.950431
0.376992,0.368125,0.929165
0.439824,0.425780,0.904231
0.502656,0.481755,0.875730
0.565488,0.535828,0.843772
0.628320,0.587786,0.808484
0.691152,0.637425,0.770005
0.753984,0.684548,0.728488
0.816816,0.728970,0.684095
0.879648,0.770515,0.637003
0.942480,0.809018,0.587397
1.005312,0.844329,0.535472
1.068144,0.876308,0.481435
1.130976,0.904828,0.425497
1.193808,0.929778,0.367880
1.256640,0.951057,0.308811
1.319472,0.968584,0.248523
1.382304,0.982288,0.187255
1.445136,0.992115,0.125247
1.507968,0.998027,0.062746
1.570800,1.000000,-0.000004
1.633632,0.998026,-0.062753
1.696464,0.992114,-0.125255
1.759296,0.982286,-0.187262
1.822128,0.968582,-0.248530
1.884960,0.951055,-0.308818
1.947792,0.929775,-0.367887
2.010624,0.904825,-0.425503
2.073456,0.876304,-0.481441
2.136288,0.844325,-0.535479
2.199120,0.809014,-0.587403
2.261952,0.770510,-0.637009
2.324784,0.728965,-0.684101
2.387616,0.684543,-0.728493
2.450448,0.637420,-0.770010
2.513280,0.587780,-0.808488
2.576112,0.535822,-0.843776
2.638944,0.481748,-0.875733
2.701776,0.425774,-0.904235
2.764608,0.368119,-0.929167
2.827440,0.309011,-0.950433
2.890272,0.248683,-0.967948
2.953104,0.187375,-0.981642
3.015936,0.125326,-0.991463
3.078768,0.062783,-0.997371
3.141600,-0.000007,-0.999342
3.204432,-0.062798,-0.997370
3.267264,-0.125341,-0.991461
3.330096,-0.187389,-0.981640
3.392928,-0.248698,-0.967944
3.455760,-0.309025,-0.950428
3.518592,-0.368132,-0.929162
3.581424,-0.425787,-0.904228
3.644256,-0.481761,-0.875726
3.707088,-0.535834,-0.843768
3.769920,-0.587792,-0.808480
3.832752,-0.637431,-0.770001
3.895584,-0.684554,-0.728483
3.958416,-0.728975,-0.684090
4.021248,-0.770519,-0.636997
4.084080,-0.809023,-0.587391
4.146912,-0.844333,-0.535466
4.209744,-0.876311,-0.481428
4.272576,-0.904831,-0.425490
4.335408,-0.929780,-0.367873
4.398240,-0.951060,-0.308804
4.461072,-0.968586,-0.248516
4.523904,-0.982289,-0.187248
4.586736,-0.992116,-0.125240
4.649568,-0.998027,-0.062738
4.712400,-1.000000,0.000011
4.775232,-0.998026,0.062760
4.838064,-0.992113,0.125262
4.900896,-0.982285,0.187269
4.963728,-0.968580,0.248538
5.026560,-0.951053,0.308825
5.089392,-0.929772,0.367893
5.152224,-0.904822,0.425510
5.215056,-0.876301,0.481447
5.277888,-0.844321,0.535485
5.340720,-0.809010,0.587409
5.403552,-0.770505,0.637014
5.466384,-0.728960,0.684106
5.529216,-0.684538,0.728498
5.592048,-0.637414,0.770015
5.654880,-0.587775,0.808493
5.717712,-0.535816,0.843780
5.780544,-0.481742,0.875737
5.843376,-0.425767,0.904238
5.906208,-0.368112,0.929170
5.969040,-0.309004,0.950435
6.031872,-0.248676,0.967949
6.094704,-0.187367,0.981644
6.157536,-0.125319,0.991464
6.220368,-0.062776,0.997371
